iter	Logloss
0	0.4178239162
1	0.3148096495
2	0.2515307872
3	0.2109180844
4	0.1859004808
5	0.1692788166
6	0.1553237016
7	0.1442712941
8	0.1381128784
9	0.1319233985
10	0.1277443078
11	0.1250132737
12	0.1219770285
13	0.120502282
14	0.1176530152
15	0.1160244867
16	0.11457876
17	0.1128510715
18	0.1114455385
19	0.1105594126
20	0.1097202048
21	0.1086451185
22	0.1069791736
23	0.1062865117
24	0.1058768303
25	0.1050932056
26	0.1042272145
27	0.1036915637
28	0.1027370883
29	0.1024383349
30	0.1020040413
31	0.1016364085
32	0.1012670649
33	0.1008220249
34	0.1002882499
35	0.09933686378
36	0.0989738465
37	0.09850019631
38	0.09807763673
39	0.09762248666
40	0.09656708944
41	0.09637059605
42	0.09593509515
43	0.09561832467
44	0.09530534206
45	0.09469997331
46	0.09327541574
47	0.09308724724
48	0.09140236124
49	0.09041359577
50	0.08967358073
51	0.08918163894
52	0.0886257768
53	0.08841100285
54	0.08806943475
55	0.08746831752
56	0.08724896552
57	0.08696997575
58	0.08675716951
59	0.0865853748
60	0.08647562742
61	0.08612675032
62	0.08595663637
63	0.08584075021
64	0.08568545858
65	0.08507565921
66	0.0841838022
67	0.08398188604
68	0.08362554967
69	0.0834076465
70	0.08303270221
71	0.08292459568
72	0.08277119538
73	0.08232545445
74	0.08219339186
75	0.08202404089
76	0.08188157526
77	0.08148804017
78	0.08104792456
79	0.08067687225
80	0.0803842826
81	0.0799884619
82	0.07989688299
83	0.07965924013
84	0.07951324937
85	0.07917147391
86	0.07883547137
87	0.07823061125
88	0.07796583217
89	0.07763254384
90	0.07737584387
91	0.07686795515
92	0.0767219205
93	0.07640741962
94	0.07622140611
95	0.07604018251
96	0.07594411622
97	0.075809656
98	0.07567699025
99	0.07559307936
100	0.07544107988
101	0.07534788014
102	0.07529722384
103	0.07518412954
104	0.07509447165
105	0.07496872631
106	0.07477254429
107	0.07463903854
108	0.07456067218
109	0.07441183249
110	0.07429752413
111	0.07409336414
112	0.07392223562
113	0.07385565582
114	0.07376097579
115	0.07356586928
116	0.07349281762
117	0.07334782769
118	0.07324259326
119	0.07314359239
120	0.07290812067
121	0.07277427463
122	0.07265032229
123	0.07245249817
124	0.07229128819
125	0.07211096051
126	0.07202683239
127	0.07175406074
128	0.07167869784
129	0.07156514719
130	0.0714924957
131	0.07145823235
132	0.07141772168
133	0.07138535235
134	0.07127172807
135	0.07116785989
136	0.07111674875
137	0.07103164628
138	0.07092328653
139	0.07079088516
140	0.07069883256
141	0.07061942315
142	0.07055885736
143	0.07034182762
144	0.07027368677
145	0.07020003598
146	0.07006770524
147	0.07001893499
148	0.06997071642
149	0.06988335656
